a,c,d,w
10404,14,4516,2014-10-04
7933,12,7405,2014-10-11
788,8,191,2014-10-18
295,9,96,2014-10-25
285,8,86,2014-11-01
55,4,42,2014-11-08
151,8,77,2014-11-15
1061,15,927,2014-11-22
393,20,87,2014-11-29
568,9,289,2014-12-06
72,6,38,2014-12-13
20160,6,188,2014-12-20
783,9,288,2014-12-27
557,14,119,2015-01-03
950,21,1928,2015-01-10
485,25,314,2015-01-17
583,23,308,2015-01-24
1893,28,1180,2015-01-31
511,14,257,2015-02-07
519,11,325,2015-02-14
3863,9,77,2015-02-21
622,19,234,2015-02-28
751,13,373,2015-03-07
213,13,143,2015-03-14
195,7,64,2015-03-21
421,12,209,2015-03-28
159,14,73,2015-04-04
388,11,65,2015-04-11
11991,18,174,2015-04-18


